Atlanta,Braves
Miami,Marlins
New York,Mets
Philadelphia,Phillies
Washington,Nationals
Chicago,Cubs
Cincinnati,Reds
Milwaukee,Brewers
Pittsburgh,Pirates
St. Louis,Cardinals
Arizona,Diamondbacks
Colorado,Rockies
Los Angeles,Dodgers
San Diego,Padres
San Francisco,Giants
Baltimore,Orioles
Boston,Red Sox
New York,Yankees
Tampa Bay,Rays
Toronto Blue,Jays
Chicago,White Sox
Cleveland,Guardians
Detroit,Tigers
Kansas City,Royals
Minnesota,Twins
Houston,Astros
Los Angeles,Angels
Oakland,Athletics
Seattle,Mariners
Texas,Rangers
